Employee ID,Age,Age Group,Attrition,Business Travel,Daily Rate,Department,Distance From Home,Education,Job Involvement,Job Level,Education Field,Employee Count,Employee Number,Environment Satisfaction,Gender,Hourly Rate,Job Role,Job Satisfaction,Marital Status,Monthly Income,Salary Slab,Monthly Rate,Num Companies Worked,Over 18,Over Time,Percent Salary Hike,Performance Rating,Performance Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Training Time Last Year,Work Life Balance,Years at Company,Years in Current Role
EM024,30,41-50,No,Frequently,493,R&D,42,4,4,5,Medical,1,1434,3,Male,88,HR,3,Single,16545,15k+,19417,4,Yes,Yes,16,2,2,40,2,21,1,1,8,10
EM025,41,31-40,No,Rarely,100,HR,42,1,4,2,Medical,1,1344,4,Female,76,Technician,3,Divorced,6794,<5k,8919,6,Yes,No,24,1,1,40,3,26,13,3,11,12
EM026,59,51+,No,Frequently,1436,Sales,14,1,2,4,Medical,1,4290,2,Male,87,Manager,2,Married,3323,5-10k,14304,2,Yes,Yes,11,3,4,40,1,18,12,3,16,3
EM027,57,20-30,No,Rarely,207,HR,32,4,3,3,Other,1,3486,4,Male,94,Research Scientist,1,Divorced,6831,10-15k,22135,1,Yes,No,14,1,2,40,1,18,9,1,6,19
EM028,54,41-50,No,Rarely,1084,R&D,5,2,2,4,Marketing,1,1803,2,Female,99,HR,4,Divorced,9578,<5k,24968,8,Yes,Yes,21,2,3,40,1,16,19,4,9,0
EM029,22,20-30,No,None,185,R&D,23,4,3,5,Marketing,1,2963,4,Female,92,Manager,3,Single,5490,<5k,6197,8,Yes,No,23,4,1,40,2,16,13,2,4,7
EM030,25,51+,No,Frequently,1305,R&D,7,2,2,1,Marketing,1,4672,2,Male,73,Manager,1,Divorced,9420,15k+,19792,9,Yes,No,21,1,4,40,2,33,6,4,4,8
EM031,27,51+,No,Rarely,628,Sales,24,3,1,4,Life Sciences,1,3975,2,Female,42,Manager,1,Married,11880,15k+,6664,2,Yes,Yes,10,3,2,40,0,0,7,1,6,19
EM032,41,41-50,No,None,1461,HR,13,2,4,5,Technical Degree,1,3744,2,Male,54,Research Scientist,2,Married,4971,<5k,10679,1,Yes,No,16,2,4,40,0,30,1,4,7,15
EM033,25,41-50,No,Frequently,576,R&D,36,2,2,1,Marketing,1,3816,3,Male,79,Manager,2,Divorced,9672,15k+,23353,7,Yes,Yes,13,4,2,40,1,31,15,4,21,2
EM034,33,51+,No,None,1284,HR,27,2,1,2,Marketing,1,1335,2,Female,91,HR,4,Single,9313,5-10k,21255,6,Yes,No,18,4,1,40,2,24,0,3,21,4
EM035,30,41-50,No,Frequently,462,R&D,37,1,1,5,Technical Degree,1,4859,1,Female,72,Technician,3,Divorced,7833,15k+,9654,4,Yes,No,12,2,4,40,2,5,1,3,24,4
EM036,29,20-30,No,None,1058,R&D,44,1,2,5,Other,1,4058,4,Male,66,Research Scientist,2,Divorced,16846,5-10k,19001,3,Yes,No,21,4,1,40,2,33,6,3,12,3
EM037,24,20-30,Yes,None,1222,HR,1,4,3,5,Life Sciences,1,1693,2,Female,68,HR,1,Single,5171,<5k,7454,9,Yes,Yes,11,2,4,40,0,33,4,1,0,16
EM038,23,20-30,No,Rarely,633,Sales,11,1,1,5,Medical,1,4717,4,Male,61,Technician,3,Divorced,4093,<5k,22239,5,Yes,No,22,4,2,40,0,37,1,3,5,0
EM039,34,20-30,No,Rarely,1494,HR,6,2,4,4,Medical,1,2304,4,Female,46,Sales Executive,2,Single,7666,10-15k,5828,5,Yes,Yes,11,2,1,40,3,6,19,4,6,13
EM040,35,20-30,No,Rarely,1446,HR,28,1,3,4,Life Sciences,1,1999,3,Male,44,Technician,4,Married,11948,5-10k,9262,6,Yes,Yes,12,4,4,40,2,16,19,1,17,19
EM041,25,20-30,No,Rarely,753,HR,47,4,4,3,Medical,1,1407,4,Female,26,HR,4,Married,7570,5-10k,22714,0,Yes,No,21,3,4,40,0,0,13,1,12,18
EM042,24,51+,No,Frequently,564,R&D,42,4,3,3,Other,1,1167,2,Male,79,HR,1,Single,12618,15k+,11052,5,Yes,No,13,3,1,40,1,26,12,1,19,5
EM043,21,51+,No,Rarely,690,R&D,43,3,2,4,Marketing,1,4582,3,Male,97,Research Scientist,1,Married,17858,15k+,5493,5,Yes,Yes,15,2,1,40,1,12,0,1,28,1
EM044,44,20-30,No,None,711,HR,39,2,1,2,Life Sciences,1,3376,3,Male,60,Manager,2,Married,15406,10-15k,11974,1,Yes,No,11,1,1,40,1,29,10,3,15,4
EM045,27,31-40,No,Frequently,1267,HR,11,4,4,1,Marketing,1,4953,4,Male,20,Research Scientist,3,Divorced,2139,5-10k,9779,0,Yes,Yes,14,1,4,40,1,12,4,3,15,2
EM046,37,51+,No,Rarely,194,HR,6,1,3,1,Other,1,1316,3,Female,80,HR,4,Married,12793,5-10k,23090,3,Yes,Yes,13,4,3,40,2,20,17,1,9,0
EM047,41,41-50,Yes,Frequently,872,HR,8,2,2,1,Technical Degree,1,4843,4,Male,31,Manager,2,Single,7399,<5k,12419,5,Yes,No,14,3,3,40,0,11,4,1,25,15
EM048,26,51+,No,None,765,R&D,32,3,2,5,Other,1,2024,3,Male,65,HR,4,Divorced,19641,10-15k,5199,6,Yes,Yes,16,1,4,40,3,20,12,3,26,2
EM049,28,31-40,No,None,414,R&D,6,1,1,5,Other,1,2840,4,Male,93,Technician,1,Single,3377,5-10k,1969,8,Yes,No,16,3,4,40,2,17,8,3,19,19
EM050,50,20-30,No,Frequently,195,R&D,37,1,2,3,Medical,1,2397,1,Female,63,Sales Executive,2,Single,16607,<5k,19559,7,Yes,No,19,3,3,40,2,27,5,3,23,17
EM051,28,41-50,No,Frequently,765,R&D,47,3,2,2,Technical Degree,1,4169,3,Male,74,Research Scientist,3,Single,13921,<5k,18906,0,Yes,No,15,4,1,40,0,2,7,1,4,5
EM052,45,51+,No,Rarely,173,HR,25,4,1,5,Medical,1,1486,3,Male,76,Technician,1,Married,9996,5-10k,16504,3,Yes,Yes,21,4,2,40,3,28,8,3,2,11
EM053,29,31-40,No,Rarely,639,HR,1,3,2,2,Life Sciences,1,4103,1,Female,66,Technician,3,Divorced,9387,10-15k,22876,4,Yes,No,16,4,4,40,1,27,4,4,16,14
EM054,32,51+,Yes,Rarely,419,R&D,40,3,3,3,Other,1,2644,4,Male,64,Sales Executive,4,Divorced,17839,15k+,7559,9,Yes,No,23,2,3,40,1,5,3,4,16,4
EM055,48,41-50,Yes,None,1455,HR,41,2,4,4,Medical,1,3338,4,Female,99,Research Scientist,3,Married,16049,<5k,13282,2,Yes,Yes,18,1,4,40,3,26,10,3,10,1
EM056,48,51+,No,Frequently,264,R&D,30,3,4,1,Technical Degree,1,4807,2,Male,28,Manager,2,Single,6777,10-15k,12625,3,Yes,No,13,1,3,40,1,23,19,2,24,7
EM057,28,41-50,Yes,None,939,Sales,1,3,3,3,Life Sciences,1,3286,4,Male,26,HR,2,Single,12244,5-10k,24598,4,Yes,No,21,2,1,40,2,28,3,4,14,7
EM058,39,20-30,No,Rarely,1285,HR,42,4,1,3,Technical Degree,1,1471,3,Male,72,Manager,1,Single,7549,10-15k,16380,3,Yes,Yes,17,3,4,40,0,25,8,4,4,0
EM059,29,31-40,No,None,1482,Sales,11,3,3,3,Marketing,1,4939,2,Male,88,HR,3,Single,10408,15k+,8608,0,Yes,Yes,19,1,2,40,1,19,12,3,19,4
EM060,50,20-30,No,None,737,Sales,6,3,1,4,Other,1,1467,1,Female,85,Manager,2,Married,12940,15k+,8350,0,Yes,Yes,21,3,1,40,0,23,8,2,13,7
EM061,37,41-50,No,None,1045,HR,35,1,1,2,Life Sciences,1,3448,4,Female,33,Research Scientist,2,Divorced,8141,5-10k,16039,4,Yes,No,11,3,3,40,1,26,10,2,0,0
EM062,51,41-50,No,Frequently,556,Sales,48,2,2,2,Life Sciences,1,2602,4,Female,91,Manager,1,Single,5883,5-10k,12472,5,Yes,No,23,2,4,40,1,24,15,2,2,5
EM063,48,41-50,No,Rarely,1446,Sales,5,2,2,1,Other,1,2147,3,Male,67,Manager,2,Divorced,15753,10-15k,9882,4,Yes,Yes,12,2,2,40,1,30,18,4,11,15
EM064,21,51+,No,Rarely,252,Sales,37,4,1,4,Life Sciences,1,1504,2,Female,92,HR,1,Married,15491,<5k,24329,7,Yes,No,14,2,1,40,2,9,0,1,11,3
EM065,42,20-30,Yes,None,930,R&D,11,2,4,3,Life Sciences,1,2604,3,Female,49,HR,2,Single,15310,15k+,8174,9,Yes,No,18,3,2,40,2,21,16,4,24,6
EM066,51,31-40,No,None,224,Sales,17,1,3,3,Technical Degree,1,2671,4,Female,77,Manager,1,Single,4453,10-15k,12476,5,Yes,Yes,16,1,3,40,2,8,17,3,23,4
EM067,58,51+,Yes,None,1050,HR,12,3,2,3,Other,1,1096,3,Male,43,Manager,4,Married,18436,10-15k,1286,1,Yes,No,12,2,3,40,2,31,15,4,2,15
EM068,30,31-40,No,Frequently,246,HR,33,3,3,3,Life Sciences,1,4755,3,Male,65,Technician,4,Divorced,15838,10-15k,14526,5,Yes,No,23,2,2,40,2,29,13,3,29,10
EM069,26,20-30,No,Rarely,1345,R&D,42,4,2,2,Life Sciences,1,1027,3,Male,53,Research Scientist,1,Single,7500,15k+,8004,9,Yes,Yes,20,1,4,40,2,30,11,2,28,14
EM070,31,20-30,No,None,706,R&D,27,1,4,5,Life Sciences,1,1332,1,Male,42,Research Scientist,1,Single,15698,15k+,10993,5,Yes,No,11,1,3,40,1,18,11,1,20,1
EM071,48,41-50,No,None,1406,Sales,7,3,1,4,Life Sciences,1,4138,2,Female,89,HR,1,Divorced,18182,<5k,7367,5,Yes,Yes,21,3,1,40,2,13,14,1,4,14
EM072,36,41-50,No,Rarely,400,R&D,33,2,1,4,Marketing,1,3771,4,Male,75,Research Scientist,2,Married,4256,<5k,8968,8,Yes,Yes,15,1,2,40,2,19,15,3,21,12
EM073,44,31-40,No,Rarely,795,R&D,11,4,2,4,Life Sciences,1,2503,2,Male,95,Research Scientist,3,Single,10030,15k+,23809,6,Yes,Yes,19,3,3,40,1,33,10,3,18,8
EM074,51,51+,No,None,988,R&D,13,1,4,4,Medical,1,2000,2,Female,60,HR,4,Divorced,17000,10-15k,2972,1,Yes,No,21,4,2,40,2,30,16,3,25,10
EM075,45,31-40,No,None,1026,R&D,7,2,1,4,Technical Degree,1,3561,4,Female,78,Research Scientist,2,Married,15708,5-10k,3861,0,Yes,No,17,4,2,40,3,26,11,4,17,13
EM076,54,31-40,No,Rarely,189,HR,36,4,2,3,Life Sciences,1,1571,4,Female,95,Sales Executive,1,Divorced,16449,10-15k,9562,2,Yes,No,21,2,2,40,3,17,9,3,26,14
EM077,56,31-40,No,Rarely,334,R&D,47,1,3,3,Technical Degree,1,1310,4,Male,60,Technician,4,Single,12217,10-15k,9941,1,Yes,Yes,16,3,1,40,0,17,14,3,9,19
EM078,42,20-30,No,Rarely,715,Sales,17,4,1,2,Marketing,1,1816,2,Female,51,Technician,4,Divorced,15819,10-15k,23817,4,Yes,Yes,11,1,3,40,0,38,18,2,27,1
EM079,28,20-30,Yes,Frequently,1172,R&D,3,2,3,1,Life Sciences,1,1181,2,Female,89,Sales Executive,2,Married,8328,15k+,2319,3,Yes,No,23,3,4,40,3,30,0,3,16,0
EM080,38,31-40,No,Rarely,1266,R&D,37,1,3,5,Other,1,4375,1,Male,28,Sales Executive,4,Married,6590,10-15k,17504,3,Yes,No,11,4,4,40,1,4,5,1,6,9
EM081,31,20-30,Yes,Rarely,183,Sales,31,3,1,4,Life Sciences,1,1552,4,Female,77,Technician,4,Single,2140,15k+,10087,9,Yes,Yes,16,1,4,40,0,18,17,1,27,8
EM082,32,41-50,No,Frequently,534,Sales,26,1,2,5,Marketing,1,4180,4,Female,68,Sales Executive,4,Divorced,14065,5-10k,2852,1,Yes,Yes,18,3,4,40,3,14,17,1,14,6
EM083,36,31-40,No,Rarely,280,HR,49,3,4,5,Marketing,1,3766,3,Male,49,Research Scientist,4,Single,2573,10-15k,15792,5,Yes,No,16,2,3,40,0,37,3,1,9,8
EM084,58,31-40,No,Rarely,573,Sales,44,4,1,1,Other,1,3822,4,Male,84,HR,3,Married,17157,5-10k,17706,4,Yes,Yes,12,2,3,40,3,33,15,4,7,13
EM085,40,20-30,No,Rarely,513,R&D,2,4,2,5,Marketing,1,4443,1,Female,23,Manager,2,Single,9739,<5k,8883,1,Yes,No,19,1,4,40,3,4,4,4,3,16
EM086,25,31-40,Yes,Frequently,356,HR,41,2,4,5,Life Sciences,1,2983,3,Male,66,Research Scientist,3,Single,5401,<5k,5389,6,Yes,Yes,22,4,1,40,3,21,10,1,29,12
EM087,33,20-30,No,None,962,Sales,42,2,3,1,Other,1,4555,1,Female,66,Research Scientist,4,Married,13645,15k+,19434,4,Yes,Yes,13,2,2,40,3,25,14,2,3,4
EM088,48,31-40,No,Frequently,1346,HR,46,3,1,4,Medical,1,4344,2,Female,44,Technician,1,Married,12641,<5k,5300,7,Yes,Yes,21,2,4,40,3,8,9,3,19,2
EM089,33,31-40,No,Rarely,193,HR,3,4,1,4,Technical Degree,1,1189,3,Male,33,Sales Executive,2,Married,14552,10-15k,22092,0,Yes,Yes,22,2,1,40,3,5,18,4,17,19
EM090,32,41-50,No,Rarely,1135,Sales,3,3,1,2,Other,1,1803,4,Female,99,Manager,4,Divorced,14031,5-10k,19409,7,Yes,Yes,20,3,3,40,0,26,13,2,16,0
EM091,53,51+,No,None,1167,R&D,17,3,4,5,Life Sciences,1,3839,2,Female,99,Technician,2,Single,15285,15k+,16028,7,Yes,Yes,10,3,2,40,3,20,5,2,11,6
EM092,33,20-30,No,None,1244,R&D,3,1,2,5,Life Sciences,1,1479,2,Male,35,HR,4,Divorced,9668,15k+,20620,1,Yes,Yes,18,4,2,40,3,32,8,4,8,8
EM093,46,51+,No,Frequently,772,Sales,5,4,3,4,Other,1,1091,2,Female,46,Technician,1,Divorced,10961,<5k,1037,0,Yes,No,15,3,2,40,3,14,0,3,1,2
EM094,55,31-40,No,None,785,Sales,3,4,2,3,Technical Degree,1,3480,4,Female,27,Research Scientist,2,Married,10920,<5k,7462,1,Yes,No,12,3,2,40,3,11,8,4,9,12
EM095,23,31-40,Yes,Frequently,260,HR,46,1,4,4,Marketing,1,2271,3,Male,39,Manager,1,Married,4536,15k+,2716,9,Yes,Yes,16,3,2,40,2,7,6,2,18,10
EM096,42,20-30,No,Frequently,779,HR,2,4,1,1,Technical Degree,1,4769,3,Female,77,Manager,2,Married,12325,<5k,3357,4,Yes,Yes,10,3,2,40,2,14,14,3,17,2
EM097,38,51+,Yes,None,1300,HR,13,3,3,3,Life Sciences,1,2002,1,Male,26,Technician,2,Single,3999,10-15k,8747,7,Yes,No,19,4,3,40,2,0,5,1,6,0
EM098,57,51+,No,None,595,Sales,32,3,1,2,Other,1,3392,3,Male,28,Research Scientist,2,Married,17860,10-15k,20013,1,Yes,Yes,12,4,4,40,1,33,9,4,9,15
EM099,33,51+,No,Frequently,135,HR,12,4,3,3,Life Sciences,1,2978,1,Male,53,Research Scientist,4,Married,7888,15k+,22613,4,Yes,Yes,13,1,1,40,0,28,4,4,18,12
EM100,24,51+,No,Rarely,954,R&D,10,1,3,1,Technical Degree,1,2445,2,Male,38,Research Scientist,2,Married,16490,<5k,21053,8,Yes,Yes,13,3,1,40,2,17,17,1,22,9
EM101,46,41-50,No,Frequently,1277,HR,9,3,4,4,Technical Degree,1,1264,4,Male,32,Technician,3,Single,16756,15k+,8148,9,Yes,Yes,18,1,4,40,3,5,5,4,18,13
EM102,23,31-40,No,Frequently,933,HR,2,1,2,4,Medical,1,2306,1,Male,29,HR,2,Single,15690,5-10k,8681,4,Yes,No,19,4,3,40,2,5,3,2,22,15
EM103,50,31-40,No,Frequently,334,Sales,7,3,3,1,Technical Degree,1,2285,1,Female,69,Sales Executive,1,Divorced,8764,5-10k,4037,1,Yes,No,23,1,2,40,0,1,0,3,24,6
EM104,57,51+,No,None,786,R&D,19,2,3,2,Other,1,1523,2,Male,27,Research Scientist,2,Divorced,5187,5-10k,8424,1,Yes,Yes,15,4,4,40,3,5,0,1,28,4
EM105,45,31-40,No,Rarely,672,R&D,25,2,1,1,Marketing,1,4482,2,Male,31,Research Scientist,1,Divorced,19091,15k+,6133,0,Yes,No,20,2,4,40,0,21,1,3,12,15
EM106,26,20-30,No,Rarely,720,HR,30,4,1,5,Other,1,3670,1,Male,31,Technician,4,Single,5429,<5k,23568,1,Yes,No,19,4,4,40,2,23,19,3,18,13
EM107,29,51+,Yes,Frequently,785,Sales,8,1,3,2,Other,1,2097,4,Female,94,HR,3,Married,3677,15k+,4007,2,Yes,Yes,24,3,2,40,0,23,14,1,23,13
EM108,59,41-50,Yes,None,1009,R&D,49,4,3,2,Other,1,4015,4,Male,96,Technician,1,Married,3863,15k+,20787,4,Yes,No,23,4,2,40,1,30,19,2,17,8
EM109,43,31-40,No,Rarely,662,Sales,14,3,3,4,Marketing,1,1412,4,Female,36,HR,1,Single,19255,5-10k,4175,5,Yes,No,14,2,1,40,1,3,3,4,27,14
EM110,21,31-40,No,Rarely,163,Sales,18,1,1,1,Medical,1,4548,1,Female,52,Technician,4,Married,9312,10-15k,6264,1,Yes,Yes,17,2,4,40,0,10,10,4,8,9
EM111,22,41-50,No,Frequently,182,R&D,22,3,4,4,Technical Degree,1,4381,3,Male,40,Manager,4,Divorced,2391,<5k,20829,0,Yes,No,13,2,2,40,0,23,0,2,11,10
EM112,39,20-30,No,None,199,Sales,45,3,1,2,Marketing,1,1498,1,Male,52,Manager,4,Single,3083,10-15k,14958,7,Yes,No,16,1,4,40,1,33,13,2,11,17
EM113,41,31-40,No,Rarely,1165,R&D,18,1,3,5,Technical Degree,1,3562,1,Male,87,Research Scientist,4,Divorced,16411,<5k,14534,8,Yes,Yes,19,1,4,40,2,32,4,1,17,7
EM114,58,31-40,No,None,378,R&D,25,3,1,1,Technical Degree,1,1040,3,Female,91,Sales Executive,3,Single,4158,<5k,20812,2,Yes,Yes,21,2,2,40,3,10,0,3,24,2
EM115,24,51+,Yes,None,869,HR,6,2,4,2,Technical Degree,1,3844,4,Female,75,Sales Executive,1,Married,6200,10-15k,12395,9,Yes,No,10,1,3,40,2,32,11,4,20,12
EM116,32,41-50,Yes,Frequently,359,HR,20,1,3,1,Life Sciences,1,4183,4,Male,54,Sales Executive,3,Married,13324,5-10k,14729,2,Yes,Yes,15,1,2,40,3,37,0,2,12,12
EM117,33,41-50,No,Frequently,462,Sales,44,4,2,4,Life Sciences,1,3302,3,Female,43,HR,4,Married,9840,15k+,2311,2,Yes,Yes,12,3,1,40,1,0,16,4,24,16
EM118,45,20-30,Yes,Rarely,1262,Sales,27,4,2,4,Medical,1,2990,1,Male,94,Technician,1,Married,12404,15k+,14603,8,Yes,No,23,4,4,40,3,20,1,4,24,0
EM119,51,31-40,No,None,311,HR,36,3,2,1,Marketing,1,1345,4,Female,67,Technician,4,Divorced,13581,15k+,3775,8,Yes,No,18,4,3,40,2,18,14,2,27,19
EM120,52,20-30,Yes,Frequently,512,R&D,47,3,1,2,Marketing,1,4627,4,Female,96,Manager,3,Divorced,9771,10-15k,19238,5,Yes,No,10,2,2,40,1,14,13,3,4,18
EM121,40,20-30,No,Rarely,613,HR,36,2,1,3,Technical Degree,1,4502,4,Male,63,Research Scientist,1,Married,3757,<5k,10743,4,Yes,No,10,3,1,40,1,21,18,3,19,9
EM122,47,20-30,No,None,499,HR,21,3,4,5,Life Sciences,1,3649,1,Male,54,HR,2,Divorced,17905,5-10k,9620,3,Yes,Yes,16,4,1,40,1,17,13,2,5,6
EM123,48,41-50,No,Rarely,551,R&D,49,1,2,2,Technical Degree,1,1676,1,Female,82,HR,4,Single,5245,5-10k,7819,6,Yes,No,22,4,3,40,0,10,5,1,1,17
EM124,29,20-30,No,Frequently,1485,HR,24,2,4,2,Other,1,1212,2,Male,64,Technician,2,Divorced,5822,15k+,24049,6,Yes,No,21,1,1,40,2,12,13,2,25,4
EM125,43,31-40,Yes,Rarely,466,HR,22,3,2,2,Technical Degree,1,2733,4,Male,60,Research Scientist,2,Divorced,7313,<5k,16775,2,Yes,No,16,4,3,40,1,32,3,2,25,11
EM126,49,41-50,No,Rarely,1181,Sales,35,2,3,4,Life Sciences,1,2009,3,Female,79,Sales Executive,4,Divorced,8152,5-10k,3534,8,Yes,Yes,21,2,3,40,1,8,12,4,27,8
EM127,51,20-30,No,None,483,R&D,39,2,4,1,Medical,1,1155,3,Male,54,Sales Executive,2,Divorced,19015,10-15k,7431,4,Yes,No,14,3,2,40,1,30,3,4,8,9
EM128,55,41-50,No,Frequently,1256,R&D,45,4,1,2,Technical Degree,1,2356,1,Male,47,Sales Executive,3,Married,3917,15k+,8055,3,Yes,No,15,3,3,40,0,22,13,2,22,2
EM129,51,20-30,No,Rarely,407,HR,24,1,3,1,Medical,1,1832,2,Male,98,Research Scientist,3,Single,14950,10-15k,6537,5,Yes,No,20,4,4,40,0,26,12,3,28,17
EM130,45,20-30,No,Rarely,1231,R&D,38,3,2,4,Other,1,3493,3,Female,91,HR,3,Divorced,12707,10-15k,13085,3,Yes,Yes,21,1,2,40,2,30,12,4,9,19
EM131,59,31-40,No,Rarely,296,Sales,44,2,1,4,Marketing,1,2919,4,Female,99,Technician,1,Married,17770,5-10k,22380,2,Yes,Yes,11,4,4,40,0,32,10,1,12,15
EM132,46,31-40,No,Rarely,1284,R&D,35,3,2,5,Technical Degree,1,4605,2,Male,20,Research Scientist,1,Single,18951,<5k,7772,7,Yes,Yes,21,3,2,40,1,39,10,1,17,4
EM133,29,20-30,No,Rarely,174,Sales,45,4,1,4,Medical,1,2145,2,Male,42,Manager,2,Single,4571,5-10k,18456,9,Yes,No,16,1,4,40,0,29,11,3,13,2
EM134,30,51+,Yes,None,1234,Sales,11,1,3,4,Marketing,1,3349,2,Male,52,HR,3,Single,14682,<5k,23871,8,Yes,Yes,15,2,3,40,3,12,3,2,29,8
EM135,31,31-40,Yes,Rarely,1482,Sales,19,4,3,1,Other,1,2147,3,Female,22,HR,4,Divorced,4436,15k+,24724,3,Yes,Yes,13,1,2,40,3,20,13,2,4,16
EM136,47,41-50,No,Frequently,329,R&D,1,1,4,3,Other,1,4346,2,Male,72,Sales Executive,3,Divorced,17440,<5k,5337,7,Yes,Yes,23,4,1,40,0,17,7,4,22,4
EM137,43,31-40,Yes,None,250,Sales,6,4,1,5,Marketing,1,1150,4,Male,88,Sales Executive,2,Single,9703,10-15k,12850,8,Yes,Yes,11,4,1,40,3,20,14,1,11,14
EM138,23,41-50,No,Frequently,395,R&D,42,2,2,1,Life Sciences,1,4038,3,Female,37,Manager,1,Married,4808,15k+,9993,7,Yes,Yes,24,4,3,40,3,11,1,4,6,14
